Complaints,Details
 Unreliable internet! Sick of constant outages. Can't get any work done. Fix your service!,"{""Topic"": ""Internet"", ""Problem"": ""Unreliable service"", ""Customer_Dissatisfaction_Index"": 90}"
 TV signal keeps dropping during crucial moments! Unacceptable quality. Sort it out!,"{""Topic"": ""TV"", ""Problem"": ""Signal dropout"", ""Customer_Dissatisfaction_Index"": 85}"
 Phone line always crackling! Can't hear a thing. Fed up with poor connection!,"{""Topic"": ""Phone"", ""Problem"": ""Crackling line"", ""Customer_Dissatisfaction_Index"": 80}"
 Ridiculous prices for such terrible service! No value for money. Disappointed!,"{""Topic"": ""Billing"", ""Problem"": ""Overcharged"", ""Customer_Dissatisfaction_Index"": 75}"
 Internet speed slower than a snail! Can't stream or download anything. Frustrating!,"{""Topic"": ""Internet"", ""Problem"": ""Slow speed"", ""Customer_Dissatisfaction_Index"": 80}"
 TV channels constantly freezing! Can't enjoy any show. Annoyed beyond belief!,"{""Topic"": ""TV"", ""Problem"": ""Channels freezing"", ""Customer_Dissatisfaction_Index"": 85}"
 Phone calls dropping mid-conversation! Unbelievably frustrating. Unacceptable!,"{""Topic"": ""Phone"", ""Problem"": ""Calls dropping"", ""Customer_Dissatisfaction_Index"": 90}"
 Billing errors every month! Overcharged again. Sort out your billing system!,"{""Topic"": ""Billing"", ""Problem"": ""Errors"", ""Customer_Dissatisfaction_Index"": 85}"
 Customer service is a joke! No help whatsoever. Fed up with the incompetence!,"{""Topic"": ""Customer Service"", ""Problem"": ""Incompetence"", ""Customer_Dissatisfaction_Index"": 95}"
This is the worst!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
I've had enough of this!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
This is beyond awful!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
I'm sick and tired of this nonsense!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
 Internet plan changed without consent! Sneaky tactics. Outraged!,"{""Topic"": ""Billing"", ""Problem"": ""Plan change without consent"", ""Customer_Dissatisfaction_Index"": 90}"
 TV package missing channels promised! Deceptive marketing. Disgusted!,"{""Topic"": ""TV"", ""Problem"": ""Missing channels"", ""Customer_Dissatisfaction_Index"": 85}"
 Phone line down for days! No communication. Angry!,"{""Topic"": ""Phone"", ""Problem"": ""Service blackout"", ""Customer_Dissatisfaction_Index"": 90}"
 Charged for services not used! Unacceptable billing. Furious!,"{""Topic"": ""Billing"", ""Problem"": ""Charged for unused services"", ""Customer_Dissatisfaction_Index"": 85}"
 Internet data cap reached too quickly! Can't use as needed. Fed up!,"{""Topic"": ""Internet"", ""Problem"": ""Data cap reached quickly"", ""Customer_Dissatisfaction_Index"": 80}"
 TV guide inaccurate! Missed recordings. Disappointed!,"{""Topic"": ""TV"", ""Problem"": ""Inaccurate guide"", ""Customer_Dissatisfaction_Index"": 75}"
 Phone service blackout during emergencies! Dangerous! Outraged!,"{""Topic"": ""Phone"", ""Problem"": ""Blackout during emergencies"", ""Customer_Dissatisfaction_Index"": 95}"
 Constant buffering while streaming! Ruined movie nights. Frustrated!,"{""Topic"": ""Internet"", ""Problem"": ""Constant buffering"", ""Customer_Dissatisfaction_Index"": 85}"
 TV equipment malfunctioning! No replacement. Infuriated!,"{""Topic"": ""TV"", ""Problem"": ""Equipment malfunctioning"", ""Customer_Dissatisfaction_Index"": 90}"
 Phone support wait times unbearable! No respect for customers' time. Enraged!,"{""Topic"": ""Phone"", ""Problem"": ""Long wait times"", ""Customer_Dissatisfaction_Index"": 95}"
 Internet plan speed not as advertised! Misleading claims. Annoyed!,"{""Topic"": ""Internet"", ""Problem"": ""Speed not as advertised"", ""Customer_Dissatisfaction_Index"": 90}"
 TV channels pixelated! Unwatchable. Disgusted!,"{""Topic"": ""TV"", ""Problem"": ""Pixelated channels"", ""Customer_Dissatisfaction_Index"": 80}"
 Phone service interrupted during important calls! Unreliable. Furious!,"{""Topic"": ""Phone"", ""Problem"": ""Dropping calls"", ""Customer_Dissatisfaction_Index"": 85}"
 Hidden fees on bill! No transparency. Fed up!,"{""Topic"": ""Billing"", ""Problem"": ""Hidden fees"", ""Customer_Dissatisfaction_Index"": 80}"
 Internet connection dropping randomly! Can't trust stability. Angry!,"{""Topic"": ""Internet"", ""Problem"": ""Connection dropping"", ""Customer_Dissatisfaction_Index"": 85}"
 TV signal weak in certain areas! Unacceptable coverage. Frustrated!,"{""Topic"": ""TV"", ""Problem"": ""Weak signal"", ""Customer_Dissatisfaction_Index"": 80}"
 Phone call quality poor! Can't hear properly. Annoyed!,"{""Topic"": ""Phone"", ""Problem"": ""Poor call quality"", ""Customer_Dissatisfaction_Index"": 80}"
 Slow response to service requests! Unacceptable delay. Disappointed!,"{""Topic"": ""Customer Service"", ""Problem"": ""Slow response"", ""Customer_Dissatisfaction_Index"": 85}"
 Internet modem overheating! Constant resets. Frustrated!,"{""Topic"": ""Internet"", ""Problem"": ""Modem overheating"", ""Customer_Dissatisfaction_Index"": 90}"
 TV installation delayed without notice! Incompetent service. Furious!,"{""Topic"": ""TV"", ""Problem"": ""Installation delay"", ""Customer_Dissatisfaction_Index"": 85}"
 Phone line interference from other lines! Unacceptable cross-talk. Angry!,"{""Topic"": ""Phone"", ""Problem"": ""Interference"", ""Customer_Dissatisfaction_Index"": 90}"
 Data throttling during peak hours! Can't use service as needed. Frustrated!,"{""Topic"": ""Internet"", ""Problem"": ""Throttling"", ""Customer_Dissatisfaction_Index"": 85}"
 TV remote buttons sticking! Can't control properly. Annoyed!,"{""Topic"": ""TV"", ""Problem"": ""Remote malfunction"", ""Customer_Dissatisfaction_Index"": 80}"
 Phone plan changed without consent! Unacceptable manipulation. Furious!,"{""Topic"": ""Phone"", ""Problem"": ""Plan change without consent"", ""Customer_Dissatisfaction_Index"": 95}"
 Internet outage during work hours! Lost productivity. Enraged!,"{""Topic"": ""Internet"", ""Problem"": ""Outage during work hours"", ""Customer_Dissatisfaction_Index"": 90}"
 TV screen flickering! Ruining viewing experience. Disappointed!,"{""Topic"": ""TV"", ""Problem"": ""Screen flickering"", ""Customer_Dissatisfaction_Index"": 80}"
 Phone network congested! Can't make calls. Annoyed!,"{""Topic"": ""Phone"", ""Problem"": ""Congested network"", ""Customer_Dissatisfaction_Index"": 80}"
